0,519.5729537
0.25,34839.85765
0.5,37379.00356
0.75,21439.50178
1,3092.52669
1.25,55439.50178
1.5,80674.37722
1.75,25259.32504
2,1332.740214
2.25,22133.45196
2.5,115921.8472
2.75,39056.83837
3,8781.527531
3.25,29758.43694
3.5,117717.5844
3.75,79381.88277
4,7742.451155
4.25,19522.20249
4.5,97582.59325
4.75,106513.3215
5,12607.46004
5.25,6404.973357
5.5,38941.28114
5.75,51336.29893
6,21862.98932
6.25,1090.909091
6.5,17868.09269
6.75,32276.29234
7,22795.00891
7.25,3147.950089
7.5,4504.456328
7.75,15253.11943
8,5237.076649
8.25,730.8377897
8.5,955.4367201
8.75,2734.402852
9,2918.003565
9.25,226.3814617
9.5,851.7857143
9.75,260.7142857
10,289.2857143
